Grupo,code,Nombre del CE,Cantidad docentes,Docentes con acceso,Cantidad estudiantes,Estudiantes con accesos
B13,12472,CENTRO ESCOLAR CANTON MOLINEROS,6,0,90,0.00
B8,12475,INSTITUTO NACIONAL DE ALEGRIA,2,0,71,0.00
B8,12478,CENTRO ESCOLAR CANTON LAS CASITAS,6,0,107,0.00
B8,12484,COMPLEJO EDUCATIVO RANDY LOWSKY KING,7,0,146,0.00
B16,12486,"CENTRO ESCOLAR COOPERATIVA LAS BURRAS, CANTON TALPETATE",2,0,51,0.00
B16,12492,CENTRO ESCOLAR CANTON EL RECREO,2,0,37,0.00
B16,12498,CENTRO ESCOLAR CANTON SAN ISIDRO,2,0,36,0.00
B8,12503,CENTRO ESCOLAR MEARDI,23,0,1479,0.00
B16,12509,CENTRO ESCOLAR EL PARAISAL,3,0,89,0.00
B8,12512,"COMPLEJO EDUCATIVO HACIENDA MONTE FRESCO, CANTÓN EL CAÑAL",7,0,216,0.00
B16,12517,CENTRO ESCOLAR CANTON SAN FELIPE,5,0,91,0.00
B8,12520,CENTRO ESCOLAR CANTON LA ANCHILA,5,0,131,0.00
B8,12524,INSTITUTO NACIONAL ERNESTO FLORES,5,0,230,0.00
B8,12528,COMPLEJO EDUCATIVO CANTÓN SAN ANTONIO,8,0,230,0.00
B8,12529,CENTRO ESCOLAR SUSANA RODRÍGUEZ VIUDA DE DUKE,16,0,750,0.00
B16,12532,CENTRO ESCOLAR PROFESOR ROMULO VASQUEZ PORTILLO,3,0,42,0.00
B8,12535,"CENTRO ESCOLAR VISTA HERMOSA, CASERIO CEIBILLA, CANTON CONDADILLO",7,1,113,0.00
B8,12536,COMPLEJO EDUCATIVO CANTON PUENTE CUSCATLAN,10,0,200,0.00
B8,12538,COMPLEJO EDUCATIVO CANTON TECOMATAL,4,0,119,0.00
B8,12540,CENTRO ESCOLAR CANTÓN JOCOMONTIQUE,3,0,141,0.00
B8,12544,CENTRO ESCOLAR CANTON PUERTO AVALOS,3,0,126,0.00
B8,12547,INSTITUTO NACIONAL DE JIQUILISCO,0,0,487,0.00
B8,12548,INSTITUTO NACIONAL CANTON TIERRA BLANCA,5,0,169,0.00
B8,12553,"CENTRO ESCOLAR HACIENDA EL TERCIO, CANTÓN SAN JOSÉ",2,0,196,0.00
B16,12560,"CENTRO ESCOLAR ASENTAMIENTO 14 DE JULIO, CANTÓN SAN PEDRO",2,0,97,0.00
B16,12563,CENTRO ESCOLAR CANTÓN EL CASTAÑO,3,0,40,0.00
B8,12565,CENTRO ESCOLAR GUSTAVO GUERRERO,4,0,211,0.00
B8,12567,COMPLEJO EDUCATIVO CANTON LOS ESPERANZA,6,0,114,0.00
B16,12569,CENTRO ESCOLAR CANTON CALIFORNIA,0,0,69,0.00
B8,12571,CENTRO ESCOLAR CANTON LA NORIA,6,0,171,0.00
B8,12574,COMPLEJO EDUCATIVO MIGUEL DUEÑAS,10,0,394,0.00
B8,12575,CENTRO ESCOLAR PROFESOR Y DOCTOR EFRAÍN JOVEL,13,0,538,0.00
B16,12576,CENTRO ESCOLAR CANTÓN LAS FLORES,2,0,61,0.00
B16,12577,CENTRO ESCOLAR CANTÓN EL TABURETE,7,0,90,0.00
B16,12579,CENTRO ESCOLAR CANTON SAN JUAN CRUZADILLA,3,0,62,0.00
B8,12581,CENTRO ESCOLAR CANTÓN ROQUINTE,6,0,160,0.00
B8,12582,CENTRO ESCOLAR RAMIRO MARTINEZ PINEDA,16,10,1407,178.00
B8,12585,INSTITUTO NACIONAL DE JUCUAPA,11,0,472,0.00
B8,12592,CENTRO ESCOLAR CANTON LLANO GRANDE,10,0,327,0.00
B8,12593,CENTRO ESCOLAR CANTON EL TAPESQUILLO ALTO,2,0,99,0.00
B8,12596,COMPLEJO EDUCATIVO PROFESOR SAÚL FLORES,17,0,871,4.00
B16,12599,CENTRO ESCOLAR CANTÓN LLANO DE CHILAMATE,3,0,57,0.00
B16,12600,CENTRO ESCOLAR CANTON EL NISPERO,4,0,54,0.00
B8,12602,INSTITUTO NACIONAL DE JUCUARAN,2,0,89,0.00
B16,12611,CENTRO ESCOLAR CANTON EL ALMENDRO,3,0,70,0.00
B8,12613,CENTRO ESCOLAR CANTON LOS LLANITOS,4,0,118,0.00
B16,12614,CENTRO ESCOLAR CANTON LA CABAÑA,2,0,85,0.00
B8,12617,COMPLEJO EDUCATIVO CANTÓN SAMURIA,4,0,254,0.00
B16,12618,"CENTRO ESCOLAR CASERIO LA RINGLERA, CANTON EL JICARO",0,0,69,0.00
B8,12622,"COMPLEJO EDUCATIVO CASERÍO SAN SIMÓN, CANTÓN LOS HORCONES",7,0,293,0.00
B8,12623,INSTITUTO NACIONAL DE MERCEDES UMAÑA,6,3,206,175.00
B16,12625,"CENTRO ESCOLAR CASERIO LA BARCA, CANTON SAN SIMON",2,0,47,0.00
B8,12627,CENTRO ESCOLAR CANTON LA MONTAÑITA,3,0,99,0.00
B16,12630,CENTRO ESCOLAR CANTON CAULOTE,3,0,66,0.00
B8,12631,COMPLEJO EDUCATIVO CANTÓN EL JOCOTILLO,8,0,267,0.00
B8,12644,CENTRO ESCOLAR CANTÓN SAN JOSÉ,4,0,106,0.00
B8,12645,COMPLEJO EDUCATIVO CANTÓN LA BREÑA,6,0,145,0.00
B16,12647,CENTRO ESCOLAR CANTON EL DELIRIO,4,0,78,0.00
B16,12648,"CENTRO ESCOLAR CASERIO JOCOTE DULCE, CANTON LA POZA",3,0,84,0.00
B8,12650,CENTRO ESCOLAR CANTON LAS TRANCAS,6,0,119,0.00
B8,12651,CENTRO ESCOLAR DOCTOR ARTURO ROSALES,5,0,120,0.00
B8,12659,INSTITUTO NACIONAL DE PUERTO EL TRIUNFO,6,0,270,0.00
B8,12666,INSTITUTO NACIONAL DE SAN AGUSTIN,2,0,83,0.00
B16,12668,"CENTRO ESCOLAR CASERIO SAN CRISTOBAL, CANTON EL SEMILLERO",3,0,36,0.00
B16,12673,CENTRO ESCOLAR ANGELA MARIA ARAUJO,2,0,84,0.00
B16,12676,CENTRO ESCOLAR RAFAEL ARAUJO,2,0,49,0.00
B8,12677,COMPLEJO EDUCATIVO PROFESOR ARTURO ROMERO CASTAÑEDA,7,0,124,0.00
B16,12678,CENTRO ESCOLAR CANTON IGLESIA VIEJA,2,0,70,0.00
B8,12681,COMPLEJO EDUCATIVO DE SAN DIONISIO,5,0,228,0.00
B16,12682,CENTRO ESCOLAR CANTON SAN FRANCISCO,2,0,61,0.00
B8,12684,"CENTRO ESCOLAR CASERÍO LOS JOBOS, CANTÓN CERRO DEL NANZAL",5,0,114,0.00
B8,12685,INSTITUTO NACIONAL DE SANTA ELENA,10,0,324,0.00
B8,12691,CENTRO ESCOLAR CANTON LAS CRUCES,4,0,110,0.00
B16,12692,CENTRO ESCOLAR CANTÓN CERRO EL NANZAL,2,0,84,0.00
B8,12693,CENTRO ESCOLAR REYES ZELAYA,4,0,208,0.00
B8,12694,CENTRO ESCOLAR ROBERTO EDMUNDO CANESSA,5,0,203,0.00
B8,12701,CENTRO ESCOLAR REPUBLICA FEDERAL DE ALEMANIA,8,0,254,0.00
B16,12702,CENTRO ESCOLAR CANTON LOS HORNOS,5,0,69,0.00
B8,12714,INSTITUTO NACIONAL DE SANTIAGO DE MARÍA,14,0,718,13.00
B16,12715,CENTRO ESCOLAR CANTON BATRES,0,0,35,0.00
B8,12719,CENTRO ESCOLAR CANTON EL MARQUEZADO,4,0,120,0.00
B8,12723,CENTRO ESCOLAR PROFESOR DOLORES DE JESUS MONTOYA,6,0,191,0.00
B8,12726,COMPLEJO EDUCATIVO CANTÓN PASO DE GUALACHE,8,0,373,0.00
B16,12727,CENTRO ESCOLAR CANTON CERRO VERDE,0,0,43,0.00
B8,12734,COMPLEJO EDUCATIVO DE TECAPAN,11,0,409,0.00
B8,12738,INSTITUTO NACIONAL DE USULUTAN,24,0,1680,0.00
B16,12743,"CENTRO ESCOLAR CASERIO EL BOTONCILLO, CANTON LAS SALINAS",0,0,56,0.00
B8,12745,CENTRO ESCOLAR CANTON EL OBRAJUELO,6,0,124,0.00
B8,12750,CENTRO ESCOLAR COLONIA EL NARANJO,4,0,224,0.00
B8,12754,CENTRO ESCOLAR JOSE ROBERTO WRIGHT,5,0,212,0.00
B8,12756,COMPLEJO EDUCATIVO CANTON LAS SALINAS,6,0,351,0.00
B16,12759,CENTRO ESCOLAR CANTON LA LAGUNA DE PALO GALAN,2,0,82,0.00
B8,12775,COMPLEJO EDUCATIVO PROFESORA BLANCA RAMÍREZ DE AVILES,7,0,299,0.00
B8,12778,COMPLEJO EDUCATIVO ALBERTO MASFERRER,6,7,331,118.00
B16,12779,CENTRO ESCOLAR CASERIO EL TERRERO,0,0,51,0.00
B8,12780,INSTITUTO NACIONAL DE CAROLINA,4,0,112,0.00
B9,12782,CENTRO ESCOLAR CIRILO ANTONIO QUINTANILLA VARGAS,9,0,281,0.00
B9,12793,INSTITUTO NACIONAL DE CIUDAD BARRIOS,11,0,575,0.00
B15,12795,CENTRO ESCOLAR CANTON GUANASTE,2,0,79,0.00
B9,12796,CENTRO ESCOLAR CANTON TEPONAHUASTE,3,0,98,0.00
B8,12798,CENTRO ESCOLAR DE LA COLONIA BOILLAT,0,0,39,0.00
B16,12800,"CENTRO ESCOLAR CASERIO CERRO DE ARENA, CANTON GUANASTE",0,0,52,0.00
B16,12801,CENTRO ESCOLAR CANTON LA TORRECILLA,0,0,44,0.00
B9,12803,CENTRO ESCOLAR CANTON LLANO EL ANGEL,7,0,290,0.00
B15,12804,CENTRO ESCOLAR CANTON BELEN,3,0,81,0.00
B16,12805,CENTRO ESCOLAR CANTON SAN LUISITO,2,0,50,0.00
B16,12807,CENTRO ESCOLAR CANTON NUEVO PORVENIR,0,0,66,0.00
B15,12813,CENTRO ESCOLAR DOCTOR FELIX CHARLAIX,3,0,82,0.00
B15,12814,CENTRO ESCOLAR ANDRES TOBIAS ROVIRA,3,0,87,0.00
B15,12820,CENTRO ESCOLAR COLONIA LA PAZ,3,0,95,0.00
B9,12821,CENTRO ESCOLAR EDGAR MAURICIO HERNANDEZ,3,0,111,0.00
B16,12823,CENTRO ESCOLAR CANTON PIE DE LA CUESTA,0,0,39,0.00
B16,12825,CENTRO ESCOLAR CANTON LOS AMATES,2,0,51,0.00
B9,12826,CENTRO ESCOLAR CANTON PAPALONES,4,0,108,0.00
B9,12827,CENTRO ESCOLAR RICARDO HAROLD KRIETTE P.,5,0,136,0.00
B16,12828,CENTRO ESCOLAR CASERIO CERRO EL JIOTE,0,0,70,0.00
B9,12829,CENTRO ESCOLAR CANTON HUALAMA,4,0,125,0.00
B9,12831,CENTRO ESCOLAR ELISEO HENRIQUEZ,13,0,675,0.00
B16,12834,CENTRO ESCOLAR GLORIA ARGUELLO DE SILVA,3,0,47,0.00
B9,12835,CENTRO ESCOLAR DE CHINAMECA,6,0,182,0.00
B9,12838,CENTRO ESCOLAR ALBERTO RECINO H.,8,0,295,0.00
B15,12841,CENTRO ESCOLAR CANTON CHAMBALA,2,0,84,0.00
B16,12844,CENTRO ESCOLAR CANTON SAN ANTONIO,2,0,78,0.00
B16,12845,CENTRO ESCOLAR CANTON EL BOQUERON,1,0,52,0.00
B16,12846,CENTRO ESCOLAR CANTON JOCOTE DULCE,4,0,57,0.00
B9,12849,CENTRO ESCOLAR CANTON LOS PLANES PRIMEROS,5,0,164,0.00
B9,12853,CENTRO ESCOLAR SEÑORA ROSA HIRLEMANN DE GARCIA PRIETO,9,0,348,0.00
B9,12855,CENTRO ESCOLAR PROFESOR JORGE SALOMON GRANADOS,5,0,126,0.00
B9,12859,CENTRO ESCOLAR ALBERTO SANCHEZ,15,0,408,0.00
B9,12861,INSTITUTO NACIONAL DE CHIRILAGUA,4,0,122,0.00
B16,12870,"CENTRO ESCOLAR CASERIO EL CASTAÑO, CANTON SAN PEDRO",3,0,79,0.00
B16,12872,"CENTRO ESCOLAR CASERIO PLAYA GRANDE, CANTON SAN PEDRO",0,0,45,0.00
B16,12874,CENTRO ESCOLAR CANTON CHILANGUERA,4,0,51,0.00
B16,12876,CENTRO ESCOLAR CANTON ZAPATAGUA,0,0,43,0.00
B9,12877,COMPLEJO EDUCATIVO CANTÓN SAN PEDRO,4,0,226,0.00
B16,12878,CENTRO ESCOLAR CANTON GUADALUPE,0,0,49,0.00
B15,12880,CENTRO ESCOLAR CANTON NUEVA CONCEPCION,2,0,93,0.00
B9,12883,CENTRO ESCOLAR CANTON LLANO DEL COYOL,0,0,259,0.00
B15,12885,CENTRO ESCOLAR CANTON MOROPALA,3,0,86,0.00
B9,12886,CENTRO ESCOLAR CANTON EL BORBOLLON,11,0,324,0.00
B9,12890,INSTITUTO NACIONAL EL TRÁNSITO,13,0,649,0.00
B9,12891,CENTRO ESCOLAR 14 DE ABRIL,12,1,503,0.00
B15,12903,CENTRO ESCOLAR CANTON EL NANCITO,2,0,92,0.00
B9,12908,CENTRO ESCOLAR CANTON VALENCIA,3,0,115,0.00
B9,12909,CENTRO ESCOLAR PROFESOR LUIS SAMUEL CACERES,9,0,319,0.00
B9,12914,CENTRO ESCOLAR CANTON LOS EJIDOS,2,0,252,0.00
B16,12918,CENTRO ESCOLAR CANTÓN VALLE ALEGRE,0,0,59,0.00
B9,12919,CENTRO ESCOLAR CANTON EL RODEO,5,0,146,0.00
B9,12920,CENTRO ESCOLAR SARA POHL DE BORGONOVO,10,0,609,0.00
B9,12921,CENTRO ESCOLAR CANTON EL PAPALON,5,0,252,0.00
B9,12922,CENTRO ESCOLAR FEDERICO ARNOLDO GARCIA PRIETO HIRLEMAN N,6,0,179,0.00
B9,12923,CENTRO ESCOLAR CANTON LA FRAGUA,4,0,154,0.00
B9,12928,INSTITUTO NACIONAL DE NUEVA GUADALUPE,8,0,355,0.00
B16,12929,CENTRO ESCOLAR CANTON SAN LUIS,2,0,47,0.00
B16,12934,"CENTRO ESCOLAR CASERIO LA ZUNCUYA, CANTON CUCURUCHO",0,0,34,0.00
B9,12938,COMPLEJO EDUCATIVO DE NUEVO EDÉN DE SAN JUAN,2,0,154,0.00
B16,12939,COMPLEJO EDUCATIVO CANTÓN SAN SEBASTIAN,1,0,43,0.00
B16,12941,"CENTRO ESCOLAR CASERIO LAS LOMITAS, CANTON SAN JOSE",0,0,36,0.00
B15,12942,CENTRO ESCOLAR CANTON SAN ANTONIO,2,1,74,0.00
B9,12949,"CENTRO ESCOLAR CASERIO EL CHILAMO, CANTON SAN MARCOS",2,0,131,0.00
B16,12955,"CENTRO ESCOLAR CASERIO EL PILON, CANTON LA JOYA",3,0,64,0.00
B16,12957,CENTRO ESCOLAR HACIENDA EL AMATILLO,0,0,39,0.00
B16,12960,CENTRO ESCOLAR CANTON SAN JERONIMO,0,0,30,0.00
B15,12961,"CENTRO ESCOLAR CASERIO SAN ANDRES, CANTON SAN JERONIMO",3,0,76,0.00
B9,12964,CENTRO ESCOLAR CANTON CANDELARIA,2,0,112,0.00
B9,12968,CENTRO ESCOLAR CANTON LA MORITA,3,0,150,0.00
B9,12975,CENTRO ESCOLAR SAN LUIS DE LA REINA,4,0,327,0.00
B9,12977,INSTITUTO NACIONAL JOAQUÍN ERNESTO CÁRDENAS,17,13,1181,461.00
B16,12980,INSTITUTO NACIONAL FEDERICO GARCIA PRIETO N.,2,0,61,0.00
B8,12981,INSTITUTO NACIONAL METROPOLITANO,3,0,67,0.00
B15,12984,CENTRO ESCOLAR CASERIO EL ESPINO,3,0,84,0.00
B9,12987,CENTRO ESCOLAR DE COLONIA SANTA LUISA,7,0,142,0.00
B16,12988,CENTRO ESCOLAR COLONIA BRISAS DEL EDEN,0,0,67,0.00
B9,12990,COMPLEJO EDUCATIVO COLONIA LA CONFIANZA,17,0,678,0.00
B9,12996,CENTRO ESCOLAR URBANIZACION CALIFORNIA,9,0,364,0.00
B9,13002,"CENTRO ESCOLAR CIUDAD MARTELL, REPUBLICA DE FRANCIA",6,0,121,0.00
B9,13005,CENTRO ESCOLAR COLONIAL RIO GRANDE,12,0,382,0.00
B9,13006,"CENTRO ESCOLAR CASERIO EL CIPRES, CANTON EL NIÑO",4,6,138,107.00
B9,13007,CENTRO ESCOLAR COLONIA 15 DE SEPTIEMBRE,11,0,252,0.00
B16,13012,CENTRO ESCOLAR ASENTAMIENTO SAN JACINTO,0,0,33,0.00
B16,13013,"CENTRO ESCOLAR HACIENDA EL GUAYABAL, CANTÓN SAN ANTONIO CHÁVEZ",2,0,43,0.00
B9,13014,CENTRO ESCOLAR COLONIA SAN JOSE,8,0,214,0.00
B9,13015,CENTRO ESCOLAR COLONIA DOLORES,3,0,131,0.00
B8,13017,CENTRO ESCOLAR COLONIA CHAPARRASTIQUE,6,0,88,0.00
B16,13018,"CENTRO ESCOLAR CASERIO LA MASCOTA, CANTON EL VOLCAN",0,0,51,0.00
B9,13022,CENTRO ESCOLAR CANTON EL VOLCAN 2,4,0,238,0.00
B15,13027,CENTRO ESCOLAR LICENCIADA LESLIE S. VOGEL,2,0,100,0.00
B9,13029,CENTRO ESCOLAR CANTON LAS DELICIAS,3,0,102,0.00
B16,13030,CENTRO ESCOLAR CANTON LA PUERTA,0,0,60,0.00
B9,13033,CENTRO ESCOLAR FINCA SANTA ISABEL CANTON EL VOLCAN,0,0,190,0.00
B9,13034,"CENTRO ESCOLAR CASERIO EL TULAR, CANTON LAS DELICIAS",2,0,119,0.00
B9,13038,CENTRO ESCOLAR CANTON EL BRAZO,2,0,211,0.00
B15,13042,CENTRO ESCOLAR CANTÓN CONCEPCIÓN COROZAL,2,0,82,0.00
B16,13043,CENTRO ESCOLAR CANTON SANTA INES,2,0,55,0.00
B9,13045,COMPLEJO EDUCATIVO FE Y ALEGRIA,27,0,1113,0.00
B16,13046,CENTRO ESCOLAR CANTON LAS CASITAS,0,0,48,0.00
B9,13048,CENTRO ESCOLAR SALVADOR MAGAÑA,4,0,173,0.00
B9,13053,COMPLEJO EDUCATIVO CANTÓN MONTE GRANDE,12,0,642,0.00
B9,13056,CENTRO ESCOLAR MANUEL JOSE ARCE,2,0,226,0.00
B15,13057,CENTRO ESCOLAR CANTON EL TECOMATAL,2,0,84,0.00
B9,13060,CENTRO ESCOLAR DOCTOR JOSE ANTONIO QUIROZ,3,0,135,0.00
B16,13063,CENTRO ESCOLAR CANTON HUISCOYOL,0,0,53,0.00
B9,13065,CENTRO ESCOLAR CANTON SAN ANDRES,3,0,114,0.00
B9,13066,COMPLEJO EDUCATIVO JULIO CÉSAR MALDONADO,14,0,525,0.00
B9,13067,CENTRO ESCOLAR PROFESORA LILIAN ISABEL PEÑA DE ORELLANA,9,0,401,0.00
B9,13071,CENTRO ESCOLAR HERBERT DE SOLA,17,0,594,0.00
B9,13072,COMPLEJO EDUCATIVO CANTÓN LA CANOA,4,0,211,0.00
B9,13073,CENTRO ESCOLAR MILAGRO DE LA PAZ,12,0,520,0.00
B9,13074,CENTRO ESCOLAR CANTON EL JALACATAL,8,0,211,0.00
B9,13075,CENTRO ESCOLAR PROFESOR ATILIO ARMANDO PEREZ SOTO,5,0,187,0.00
B16,13080,CENTRO ESCOLAR CANTON ALTO MIRO,0,0,39,0.00
B9,13081,CENTRO ESCOLAR UNIÓN PANAMERICANA,14,0,431,0.00
B9,13082,COMPLEJO EDUCATIVO OFELIA HERRERA,39,0,1796,0.00
B9,13083,COMPLEJO EDUCATIVO SOR CECILIA SANTILLANA AHUACTZIN,16,0,715,18.00
B9,13084,CENTRO ESCOLAR JESUS ESCOBAR DE CARDENAS,10,0,434,0.00
B9,13085,CENTRO ESCOLAR DOLORES SOUZA,9,0,293,0.00
B9,13086,CENTRO ESCOLAR MARIA ESCOBAR GRANILLO,2,0,230,0.00
B9,13087,COMPLEJO EDUCATIVO AMINTA DE MONTIEL,15,0,552,0.00
B9,13089,CENTRO ESCOLAR DOLORES C. RETES,23,22,836,152.00
B9,13090,"CENTRO ESCOLAR COLONIA LA CARMENZA, CANTON HATO NUEVO",6,0,163,0.00
B9,13091,CENTRO ESCOLAR ABDON CORDERO,6,0,211,0.00
B9,13092,CENTRO ESCOLAR PABLO J. AGUIRRE,11,0,490,0.00
B9,13094,CENTRO ESCOLAR SAGRADO CORAZÓN,16,0,544,0.00
B9,13095,CENTRO ESCOLAR NIÑO JESUS DE PRAGA,14,0,306,0.00
B16,13096,CENTRO ESCOLAR CANTON LA PEÑITA,0,0,47,0.00
B9,13097,CENTRO ESCOLAR CANTON SANTA CLARA,4,0,102,0.00
B15,13100,CENTRO ESCOLAR CANTON LOS ZELAYA,3,0,87,0.00
B16,13102,"CENTRO ESCOLAR CASERIO LOS LEMUS, CANTON SANTA CLARA",2,0,51,0.00
B9,13104,INSTITUTO NACIONAL JOHN F. KENNEDY,7,0,243,0.00
B9,13107,CENTRO ESCOLAR PROFESOR JOSÉ OSCAR RIVERA QUINTANILLA,10,0,325,0.00
B9,13111,INSTITUTO NACIONAL DE SESORI,7,0,207,0.00
B16,13118,"CENTRO ESCOLAR CASERIO QUESERITA, CANTON MINITAS",0,0,37,0.00
B9,13122,CENTRO ESCOLAR DOCTOR MANUEL QUIJANO HERNANDEZ,14,0,368,0.00
B16,13126,CENTRO ESCOLAR CANTON EL TIZATE,3,0,63,0.00
B16,13128,"CENTRO ESCOLAR CASERIO EL TABLON, CANTON RIO DE VARGAS",2,0,60,0.00
B9,13129,INSTITUTO NACIONAL DE ULUAZAPA,3,0,125,0.00
B9,13130,CENTRO ESCOLAR MARIA LUCINDA VARGAS,7,0,327,0.00
B16,13131,CENTRO ESCOLAR CANTON JUAN YANES,3,0,82,0.00
B10,13132,CENTRO ESCOLAR DE ARAMBALA,4,0,119,0.00
B10,13145,INSTITUTO NACIONAL DE CORINTO,8,0,263,0.00
B10,13157,"CENTRO ESCOLAR CASERIO MATAPALO, CANTON CORRALITO",5,0,153,0.00
B15,13158,"CENTRO ESCOLAR CASERIO GUACAMAYA, CANTON LA LAGUNA",3,0,65,0.00
B15,13160,CENTRO ESCOLAR CANTON SAN FELIPE,3,0,52,0.00
B15,13162,CENTRO ESCOLAR CANTON EL CHAPARRAL,6,0,89,0.00
B10,13166,CENTRO ESCOLAR CANTON EL PEDERNAL,6,0,201,0.00
B10,13170,CENTRO ESCOLAR DOCTOR DAVID TURCIOS.,12,7,480,261.00
B15,13180,CENTRO ESCOLAR CANTON LOMA TENDIDA,4,0,71,0.00
B10,13184,CENTRO ESCOLAR CANTON LLANO DE SANTIAGO,5,0,157,0.00
B10,13186,"CENTRO ESCOLAR CASERIO EL CARRIZAL, CANTON SAN PEDRO",4,0,139,0.00
B10,13187,CENTRO ESCOLAR CANTON SAN PEDRO RIO SECO,6,0,190,0.00
B10,13188,CENTRO ESCOLAR JORGE WASHINGTON,6,0,225,0.00
B15,13193,"CENTRO ESCOLAR CASERIO PEÑA BLANCA, CANTON LA JOYA",3,0,40,0.00
B10,13196,CENTRO ESCOLAR CANTON MAIGUERA,5,0,134,0.00
B10,13198,CENTRO ESCOLAR GENERAL GERARDO BARRIOS,9,0,416,0.00
B15,13200,CENTRO ESCOLAR CANTON SAN BARTOLO,4,0,45,0.00
B10,13206,INSTITUTO NACIONAL PROFESOR JOSE LUIS LOPEZ,8,0,275,0.00
B10,13208,CENTRO ESCOLAR SILVERIA LAZO VIUDA DE ÁLVAREZ,6,0,91,0.00
B10,13209,CENTRO ESCOLAR RENÉ BENÍTEZ PRUDENCIO,5,0,111,0.00
B15,13213,CENTRO ESCOLAR JUAN MANUEL RODRÍGUEZ,4,1,76,0.00
B15,13216,CENTRO ESCOLAR CANTON FLAMENCO,5,0,83,0.00
B10,13223,CENTRO ESCOLAR CANTON HUALINDO,5,0,113,0.00
B15,13224,CENTRO ESCOLAR CANTON LA MANZANILLA,2,0,30,0.00
B10,13229,INSTITUTO NACIONAL SEGUNDO MONTES,6,0,320,0.00
B10,13231,CENTRO ESCOLAR JOSE SIMEON CAÑAS,5,0,116,0.00
B10,13238,CENTRO ESCOLAR PROFESOR EMNER ABILIO ROMERO,4,4,167,166.00
B10,13246,"COMPLEJO EDUCATIVO ASENTAMIENTO SANTA BÁRBARA, CANTÓN SAN MARCOS",9,0,250,0.00
B10,13249,CENTRO ESCOLAR LICENCIADO JUAN JOSÉ GUZMÁN,11,0,351,0.00
B10,13252,COMPLEJO EDUCATIVO DE SAN FERNANDO,5,0,130,0.00
B10,13259,"CENTRO ESCOLAR CASERIO LOS ROMEROS, CANTON EL TRIUNFO",6,0,107,0.00
B10,13261,CENTRO ESCOLAR CANTON EL NORTE,7,5,111,0.00
B10,13262,CENTRO ESCOLAR PROFESORA JOSEFA VALLE DE FUENTES,6,0,107,0.00
B10,13263,CENTRO ESCOLAR CANTON CACAHUATALEJO,5,0,98,0.00
B10,13265,CENTRO ESCOLAR CANTON SAN JOSE,6,0,163,0.00
B15,13266,CENTRO ESCOLAR CANTON EL TRIUNFO,3,0,76,0.00
B15,13267,CENTRO ESCOLAR FELIPE SOTO,6,0,85,0.00
B10,13268,COMPLEJO EDUCATIVO SAN FRANCISCO GOTERA,19,1,492,1.00
B10,13269,CENTRO ESCOLAR PRESBITERO NORBERTO CRUZ,21,15,794,237.00
B10,13270,CENTRO ESCOLAR GENERAL FRANCISCO MORAZAN,6,1,236,0.00
B10,13273,CENTRO ESCOLAR ALBERTO MASFERRER,9,0,315,0.00
B10,13274,CENTRO ESCOLAR CANTON POTRERO DE ADENTRO,6,0,133,0.00
B10,13277,CENTRO ESCOLAR CANTON LAS QUEBRADAS,5,0,147,0.00
B15,13278,CENTRO ESCOLAR CANTON SAN FRANCISCO,3,0,29,0.00
B10,13280,"CENTRO ESCOLAR CASERIO EL JUNQUILLO, CANTON LAS QUEBRADAS",6,0,215,0.00
B15,13285,CENTRO ESCOLAR CANTON EL RODEO,5,0,90,0.00
B15,13287,"CENTRO ESCOLAR CASERIO GUARUMAL, CANTON EL LIMON",3,0,58,0.00
B10,13288,CENTRO ESCOLAR DOCTOR RAMON ROSA,7,0,271,0.00
B10,13289,CENTRO ESCOLAR CANTON EL TABLON,6,0,200,0.00
B15,13291,CENTRO ESCOLAR CANTON CANDELARIA,8,0,106,0.00
B15,13292,CENTRO ESCOLAR SARA CASTELLANOS,8,0,81,0.00
B10,13293,CENTRO ESCOLAR CANTON ANIMAS,5,0,146,0.00
B15,13294,CENTRO ESCOLAR CANTON EL PEÑON,4,0,81,0.00
B10,13299,CENTRO ESCOLAR ALBERTO GUZMAN MEJIA,6,0,139,0.00
B15,13304,CENTRO ESCOLAR BLANCA BENITEZ DE FLORES,3,0,65,0.00
B10,13307,CENTRO ESCOLAR CANTON ISLETAS,3,0,182,0.00
B10,13309,CENTRO ESCOLAR DE YOLOAIQUIN,8,0,327,0.00
B15,13321,CENTRO ESCOLAR MARIO SANTOS REYES,0,0,41,0.00
B15,13329,CENTRO ESCOLAR CANTON TERRERITOS,2,0,75,0.00
B10,13331,CENTRO ESCOLAR DE ANAMOROS,11,3,702,1.00
B10,13332,CENTRO ESCOLAR CANTON TULIMA,2,0,119,0.00
B15,13353,"CENTRO ESCOLAR CASERÍO EL HABILLAL, CANTÓN CIPRES",1,0,81,0.00
B10,13358,CENTRO ESCOLAR CANTON EL CIPRES,2,0,109,0.00
B10,13359,CENTRO ESCOLAR COLONIA BUENA VISTA,2,0,233,0.00
B10,13363,CENTRO ESCOLAR CANTON EL FARITO,1,0,120,0.00
B10,13364,CENTRO ESCOLAR HACIENDA LA CAÑADA,2,0,139,0.00
B10,13365,COMPLEJO EDUCATIVO  CANTON EL JAGUEY,6,0,403,0.00
B10,13385,COMPLEJO EDUCATIVO JOHN F. KENNEDY,9,9,341,261.00
B10,13391,INSTITUTO NACIONAL DE EL SAUCE,4,1,136,0.00
